GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
revworkforce,com.revworkforce.service,AttendanceService,36,111,1,5,6,28,2,6,1,4
revworkforce,com.revworkforce.service,LeaveService,59,141,8,2,21,43,5,7,1,6
revworkforce,com.revworkforce.service,EmployeeService,139,407,18,34,31,117,16,20,1,9
revworkforce,com.revworkforce.service,AdminService,163,507,23,29,51,151,36,31,22,19
revworkforce,com.revworkforce.service,AuditService,3,32,0,0,1,9,1,3,1,3
revworkforce,com.revworkforce.service,PerformanceService,39,151,3,3,12,49,4,5,1,5
revworkforce,com.revworkforce.service,NotificationService,6,96,0,4,3,32,1,8,1,6
revworkforce,com.revworkforce.service,AdminLeaveService,99,276,7,6,21,74,5,12,1,8
revworkforce,com.revworkforce.service,ManagerService,99,523,7,33,26,161,8,30,1,17
revworkforce,com.revworkforce.service,AdminConfigService,100,408,9,18,29,127,9,18,1,7
revworkforce,com.revworkforce.service,ReportService,3,35,0,2,1,12,1,3,1,2
revworkforce,com.revworkforce.service,AuthService,59,247,4,16,18,72,5,11,1,5
revworkforce,com.revworkforce.dao,RoleDAO,2,59,1,7,1,15,1,7,0,4
revworkforce,com.revworkforce.dao,LeaveDAO,0,387,3,9,0,124,3,21,0,18
revworkforce,com.revworkforce.dao,HolidayDAO,0,42,0,0,0,14,0,3,0,3
revworkforce,com.revworkforce.dao,PerformanceCycleDAO,0,54,0,0,0,19,0,4,0,4
revworkforce,com.revworkforce.dao,AttendanceDAO,0,109,0,0,0,35,0,7,0,7
revworkforce,com.revworkforce.dao,DepartmentDAO,52,90,2,0,13,31,2,7,1,7
revworkforce,com.revworkforce.dao,AnnouncementDAO,0,14,0,0,0,5,0,2,0,2
revworkforce,com.revworkforce.dao,EmployeeDAO,16,648,12,20,2,191,12,30,0,26
revworkforce,com.revworkforce.dao,PerformanceDAO,133,110,8,0,42,35,11,5,7,5
revworkforce,com.revworkforce.dao,AuditLogDAO,9,158,1,3,2,33,1,5,0,4
revworkforce,com.revworkforce.dao,NotificationDAO,27,123,5,7,8,38,5,6,0,5
revworkforce,com.revworkforce.dao,LeavePolicyDAO,0,27,0,0,0,9,0,2,0,2
revworkforce,com.revworkforce.dao,SystemPolicyDAO,75,70,4,2,20,23,3,6,1,5
revworkforce,com.revworkforce.dao,DesignationDAO,151,71,12,6,48,19,14,5,6,4
revworkforce,com.revworkforce.util,AuditSchemaMigration,0,34,0,2,0,12,0,3,0,2
revworkforce,com.revworkforce.util,PasswordUtil,0,9,0,0,0,2,0,2,0,2
revworkforce,com.revworkforce.util,DBConnection,27,76,4,2,8,24,3,3,0,3
revworkforce,com.revworkforce.util,DateUtil,0,42,0,4,0,13,0,8,0,6
revworkforce,com.revworkforce.util,ValidationUtil,26,53,8,14,6,10,6,12,2,5
revworkforce,com.revworkforce.util,InputUtil,0,68,1,5,0,26,1,9,0,7
revworkforce,com.revworkforce.model,PerformanceCycle,0,38,0,0,0,11,0,11,0,11
revworkforce,com.revworkforce.model,Holiday,0,31,0,0,0,9,0,9,0,9
revworkforce,com.revworkforce.model,AuditLog,0,66,0,0,0,19,0,19,0,19
revworkforce,com.revworkforce.model,LeaveType,0,24,0,0,0,7,0,7,0,7
revworkforce,com.revworkforce.model,Designation,0,17,0,0,0,5,0,5,0,5
revworkforce,com.revworkforce.model,Notification,0,52,0,0,0,15,0,15,0,15
revworkforce,com.revworkforce.model,SystemPolicy,0,24,0,0,0,7,0,7,0,7
revworkforce,com.revworkforce.model,Department,0,24,0,0,0,7,0,7,0,7
revworkforce,com.revworkforce.model,LeaveApplication,0,87,0,0,0,25,0,25,0,25
revworkforce,com.revworkforce.model,Attendance,0,45,0,0,0,13,0,13,0,13
revworkforce,com.revworkforce.model,Role,0,17,0,0,0,5,0,5,0,5
revworkforce,com.revworkforce.model,Employee,0,136,0,0,0,39,0,39,0,39
revworkforce,com.revworkforce.model,PerformanceReview,0,94,0,0,0,27,0,27,0,27
revworkforce,com.revworkforce.model,Announcement,0,38,0,0,0,11,0,11,0,11
revworkforce,com.revworkforce.model,LeaveBalance,0,52,0,0,0,15,0,15,0,15
revworkforce,com.revworkforce.model,Goal,0,73,0,0,0,21,0,21,0,21
revworkforce,com.revworkforce.context,SessionContext,14,22,2,4,6,10,4,5,2,4
revworkforce,com.revworkforce,VerifyTeamDisplay,68,0,8,0,22,0,7,0,3,0
revworkforce,com.revworkforce,Main,3,48,0,0,1,18,1,2,1,2
revworkforce,com.revworkforce.menu,MainMenu,46,73,13,5,20,20,12,2,1,2
revworkforce,com.revworkforce.menu,EmployeeMenu,4,170,1,19,2,56,2,18,1,1
revworkforce,com.revworkforce.menu,ManagerMenu,57,234,18,23,16,81,18,11,1,1
revworkforce,com.revworkforce.menu,AdminMenu,20,150,8,20,9,57,9,18,1,1
revworkforce,com.revworkforce.exception,AppException,0,9,0,0,0,4,0,2,0,2
revworkforce,com.revworkforce.exception,ValidationException,5,4,0,0,2,2,1,1,1,1
